mount_count,iterations,successes,failures,success_rate,min_time,max_time,mean_time,median_time,std_time,q25_time,q75_time
2100,3,3,0,100.0,72.854,73.277,73.07566666666666,73.096,0.21223179152364,72.975,73.1865
2110,3,3,0,100.0,73.909,74.123,74.04899999999999,74.115,0.12130952147296256,74.012,74.119
2120,3,3,0,100.0,74.368,74.742,74.59433333333334,74.673,0.19902344920469864,74.5205,74.70750000000001
2130,3,3,0,100.0,76.293,77.022,76.649,76.632,0.3647972039366526,76.4625,76.827
2140,3,3,0,100.0,77.889,79.226,78.45633333333335,78.254,0.6910834488926313,78.0715,78.74000000000001
2150,3,3,0,100.0,78.471,79.444,78.80666666666667,78.505,0.5522085958524506,78.488,78.9745
2160,3,3,0,100.0,80.91,81.733,81.25733333333334,81.129,0.4262444525543245,81.0195,81.43100000000001
2170,3,3,0,100.0,83.373,84.38,83.88766666666668,83.91,0.5038713460133734,83.64150000000001,84.145
2180,3,3,0,100.0,85.158,85.611,85.31533333333334,85.177,0.2562310155569256,85.1675,85.394
2190,3,3,0,100.0,87.732,88.211,87.95066666666668,87.909,0.2422030828320169,87.82050000000001,88.06
2200,3,3,0,100.0,89.272,89.559,89.41733333333333,89.421,0.14353512926573825,89.3465,89.49000000000001
2210,3,0,3,0.0,90.102,90.179,90.15233333333333,90.176,0.043615746392022675,90.13900000000001,90.17750000000001
2220,3,0,3,0.0,90.0,90.0,90.0,90.0,0.0,90.0,90.0
