mount_count,iteration,startup_time_ms,success,total_system_mounts,timestamp,notes
600,4,4832,true,624,2025-07-06T16:55:46+12:00,success
600,5,4839,true,624,2025-07-06T16:55:54+12:00,success
700,1,6132,true,724,2025-07-06T16:56:07+12:00,success
700,2,6136,true,724,2025-07-06T16:56:16+12:00,success
700,3,6054,true,724,2025-07-06T16:56:25+12:00,success
700,4,6147,true,724,2025-07-06T16:56:34+12:00,success
700,5,6105,true,724,2025-07-06T16:56:43+12:00,success
800,1,7605,true,824,2025-07-06T16:56:58+12:00,success
800,2,7657,true,824,2025-07-06T16:57:08+12:00,success
800,3,7668,true,824,2025-07-06T16:57:19+12:00,success
800,4,7658,true,824,2025-07-06T16:57:30+12:00,success
800,5,7584,true,824,2025-07-06T16:57:41+12:00,success
900,1,9194,true,924,2025-07-06T16:57:57+12:00,success
900,2,9185,true,924,2025-07-06T16:58:09+12:00,success
900,3,9247,true,924,2025-07-06T16:58:21+12:00,success
900,4,9207,true,924,2025-07-06T16:58:33+12:00,success
900,5,9216,true,924,2025-07-06T16:58:46+12:00,success
1000,1,10921,true,1024,2025-07-06T16:59:03+12:00,success
1000,2,10905,true,1024,2025-07-06T16:59:17+12:00,success
1000,3,10870,true,1024,2025-07-06T16:59:31+12:00,success
1000,4,10914,true,1024,2025-07-06T16:59:45+12:00,success
1000,5,10831,true,1024,2025-07-06T16:59:59+12:00,success
1100,1,12984,true,1124,2025-07-06T17:00:19+12:00,success
1100,2,12784,true,1124,2025-07-06T17:00:35+12:00,success
1100,3,12763,true,1124,2025-07-06T17:00:51+12:00,success
1100,4,13043,true,1124,2025-07-06T17:01:07+12:00,success
1100,5,12903,true,1124,2025-07-06T17:01:23+12:00,success
1200,1,15400,true,1224,2025-07-06T17:01:45+12:00,success
1200,2,15293,true,1224,2025-07-06T17:02:04+12:00,success
1200,3,15582,true,1224,2025-07-06T17:02:22+12:00,success
1200,4,15099,true,1224,2025-07-06T17:02:40+12:00,success
1200,5,15083,true,1224,2025-07-06T17:02:59+12:00,success
1300,1,17278,true,1324,2025-07-06T17:03:23+12:00,success
1300,2,17372,true,1324,2025-07-06T17:03:43+12:00,success
1300,3,17496,true,1324,2025-07-06T17:04:04+12:00,success
1300,4,17350,true,1324,2025-07-06T17:04:24+12:00,success
1300,5,17334,true,1324,2025-07-06T17:04:45+12:00,success
1400,1,21674,true,1424,2025-07-06T17:05:13+12:00,success
1400,2,21333,true,1424,2025-07-06T17:05:38+12:00,success
1400,3,21665,true,1424,2025-07-06T17:06:02+12:00,success
1400,4,21446,true,1424,2025-07-06T17:06:27+12:00,success
1400,5,21468,true,1424,2025-07-06T17:06:52+12:00,success
1500,1,27034,true,1524,2025-07-06T17:07:26+12:00,success
1500,2,26865,true,1524,2025-07-06T17:07:55+12:00,success
1500,3,27048,true,1524,2025-07-06T17:08:26+12:00,success
1500,4,27228,true,1524,2025-07-06T17:08:56+12:00,success
1500,5,27208,true,1524,2025-07-06T17:09:26+12:00,success
1600,1,29347,true,1624,2025-07-06T17:10:03+12:00,success
1600,2,29529,true,1624,2025-07-06T17:10:35+12:00,success
1600,3,29265,true,1624,2025-07-06T17:11:08+12:00,success
1600,4,29224,true,1624,2025-07-06T17:11:40+12:00,success
1600,5,29250,true,1624,2025-07-06T17:12:12+12:00,success
1700,1,33744,true,1724,2025-07-06T17:12:53+12:00,success
1700,2,33678,true,1724,2025-07-06T17:13:30+12:00,success
1700,3,34071,true,1724,2025-07-06T17:14:07+12:00,success
1700,4,33653,true,1724,2025-07-06T17:14:44+12:00,success
1700,5,33942,true,1724,2025-07-06T17:15:21+12:00,success
1800,1,41450,true,1824,2025-07-06T17:16:10+12:00,success
1800,2,41736,true,1824,2025-07-06T17:16:55+12:00,success
1800,3,41305,true,1824,2025-07-06T17:17:39+12:00,success
1800,4,41347,true,1824,2025-07-06T17:18:23+12:00,success
1800,5,40894,true,1824,2025-07-06T17:19:07+12:00,success
1900,1,50842,true,1924,2025-07-06T17:20:06+12:00,success
1900,2,50835,true,1924,2025-07-06T17:21:00+12:00,success
1900,3,51096,true,1924,2025-07-06T17:21:54+12:00,success
1900,4,51396,true,1924,2025-07-06T17:22:48+12:00,success
1900,5,51237,true,1924,2025-07-06T17:23:43+12:00,success
2000,1,64864,true,2024,2025-07-06T17:24:55+12:00,success
2000,2,64160,true,2024,2025-07-06T17:26:02+12:00,success
2000,3,64361,true,2024,2025-07-06T17:27:09+12:00,success
2000,4,64041,true,2024,2025-07-06T17:28:17+12:00,success
2000,5,63975,true,2024,2025-07-06T17:29:24+12:00,success
2100,1,79643,true,2124,2025-07-06T17:30:51+12:00,success
2100,2,81147,true,2124,2025-07-06T17:32:15+12:00,success
2100,3,79576,true,2124,2025-07-06T17:33:38+12:00,success
2100,4,80805,true,2124,2025-07-06T17:35:02+12:00,success
2100,5,79440,true,2124,2025-07-06T17:36:24+12:00,success
2200,1,90064,false,2224,2025-07-06T17:38:02+12:00,systemd_timeout_90s
2200,2,90176,false,2224,2025-07-06T17:39:35+12:00,systemd_timeout_90s
2200,3,90173,false,2224,2025-07-06T17:41:08+12:00,systemd_timeout_90s
2200,4,90173,false,2224,2025-07-06T17:42:41+12:00,systemd_timeout_90s
2200,5,90181,false,2224,2025-07-06T17:44:15+12:00,systemd_timeout_90s
